RA1,P1,Ow01,H1;H2,T1,T2;T3,Monthly,2024-01-01,2024-12-31,2023-12-15,1200.00,Active
RA2,P2,Ow02,H3;H4,T4,T5,Weekly,2024-02-01,2024-07-01,2023-11-01,2500.00,New
RA3,P3,Ow03,H5;H6,T6,,Monthly,2024-01-15,2024-12-15,2023-12-01,1500.00,Completed
RA4,P4,Ow04,H7;H8,T7,T8,Daily,2024-03-01,2024-06-01,2024-01-15,3000.00,Active
RA5,P5,Ow05,H9;H10,T9,,Fortnightly,2024-01-10,2024-10-10,2023-12-20,1800.00,New
RA6,P6,Ow06,H11;H12,T10,T11;T12,Monthly,2024-02-15,2024-11-15,2023-12-30,2100.00,Completed
RA7,P7,Ow07,H13;H14,T13,,Monthly,2024-03-01,2025-03-01,2024-02-01,2300.00,Active
RA8,P8,Ow08,H15;H16,T14,T15,Weekly,2024-02-05,2024-06-05,2023-11-05,1600.00,New
RA9,P9,Ow09,H17;H18,T16,,Fortnightly,2024-01-01,2024-07-01,2023-12-10,2500.00,Active
RA10,P10,Ow10,H19;H20,T17,T18,Monthly,2024-01-20,2024-12-20,2023-11-20,1900.00,Completed
RA11,P11,Ow11,H1;H2,T19,,Daily,2024-03-01,2024-06-01,2024-02-10,1400.00,New
RA12,P12,Ow12,H3;H4,T20,T1,Weekly,2024-01-15,2024-07-15,2023-11-15,2700.00,Active
RA13,P13,Ow13,H5;H6,T2,T3;T4,Monthly,2024-02-01,2024-12-01,2023-12-01,3000.00,Completed
RA14,P14,Ow14,H7;H8,T5,,Fortnightly,2024-03-05,2024-09-05,2023-11-25,1600.00,New
RA15,P15,Ow15,H9;H10,T6,T7;T8,Monthly,2024-01-10,2025-01-10,2023-12-05,2200.00,Active
RA16,P16,Ow16,H11;H12,T9,,Daily,2024-02-01,2024-08-01,2024-01-15,1800.00,Completed
RA17,P17,Ow17,H13;H14,T10,T11;T12,Monthly,2024-01-05,2024-12-05,2023-12-20,2500.00,New
RA18,P18,Ow18,H15;H16,T13,,Weekly,2024-03-01,2024-09-01,2024-02-10,2000.00,Active
RA19,P19,Ow19,H17;H18,T14,T15,Fortnightly,2024-02-10,2024-08-10,2024-01-10,1900.00,Completed
RA20,P20,Ow20,H19;H20,T16,,Monthly,2024-01-25,2024-11-25,2023-11-15,1500.00,Active
